Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-12-29 10:02:05.005 +0800,"Failure",0:03:03,2,1,3,"20161229_100205.005/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""(TEXT:""Print"")""",0
2016-12-29 10:11:58.058 +0800,"Failure",0:07:50,3,2,4,"20161229_101158.058/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Collection/PluginPrint"" within 0.30 seconds",0
2016-12-29 10:20:41.041 +0800,"Success",0:08:21,0,0,0,"20161229_102041.041/LogFile.txt","","",1
2016-12-29 11:02:36.036 +0800,"Failure",0:06:57,2,1,3,"20161229_110236.036/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""(TEXT:""wang"")""",0
2016-12-29 16:29:05.005 +0800,"Failure",0:05:19,2,1,3,"20161229_162905.005/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""S6/plugin/Settings/Backspace_S6""",0
